# Upstream has NO standalone build: localedef lives in glibc's locale/programs,
# and glibc/locale carries no configure of its own (verified against the
# glibc-2.39 tree) -- only a subdir Makefile the top-level build includes -- so
# upstream's only answer is "build all of glibc". The single-binary build used
# here is Yocto's cross-localedef-native path and needs THREE pinned inputs:
#   1. glibc 2.39 sources        the row above; ftp.gnu.org, digest verified by
#                                download-and-hash. GPL-2.0-or-later read from
#                                glibc-2.39/locale/programs/localedef.c, whose
#                                header says GPL version 2 or later -- note the
#                                locale PROGRAMS are GPL, not the library's LGPL.
#   2. github.com/kraj/localedef a ~14-file autotools harness compiling those
#                                sources against the host libc. No releases and
#                                no tags, so build.sh pins it by COMMIT.
#   3. four OpenEmbedded patches pinned by oe-core commit + per-file sha256.
# 0013 is load-bearing: it forward-ports eglibc's cross-locale support, and
# without it locale/localeinfo.h includes glibc-internal <tls.h> and the build
# stops dead. All four are Upstream-Status: Pending and have been carried out of
# tree since 2015 -- that staleness, not the build, is the standing risk.
# Re-pin the three together or not at all: the patches carry file-level context,
# so a glibc bump without a matching harness commit will fail to apply.
#
# WHY 2.39 EXACTLY, and why this is not pedantry: localedef writes binary locale
# data in a layout coupled to the libc that will read it, so a localedef from a
# different glibc can emit an archive the host mis-reads. 2.39 is what Ubuntu
# 24.04's libc-bin 2.39-0ubuntu8.8 is built from. Measured on ubuntu:24.04: the
# binary built by this recipe emits LC_CTYPE, LC_COLLATE, LC_TIME, LC_NUMERIC and
# LC_MONETARY BYTE-IDENTICAL to the host localedef's output for the same source,
# and the host libc loads them (locale charmap -> UTF-8, LC_TIME -> March).
# linux only: this compiles glibc's own sources against glibc. There is no
# darwin or windows build and there will not be one.
#
